,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
06073,797,みずな 葉 ゆで,91.8,0.8,2.8,3.6,-,-,-,-,-,
06074,798,みずな 塩漬,88.2,0.5,3.0,3.5,-,-,-,-,-,
06274,799,（みつば類） 切りみつば 葉 生,93.8,0.4,2.1,2.5,-,-,-,-,-,
06275,800,（みつば類） 切りみつば 葉 ゆで,95.2,0.4,2.3,2.7,-,-,-,-,-,
06276,801,（みつば類） 根みつば 葉 生,92.7,0.5,2.4,2.9,-,-,-,-,-,
06277,802,（みつば類） 根みつば 葉 ゆで,92.9,0.6,2.7,3.3,-,-,-,-,-,
06278,803,（みつば類） 糸みつば 葉 生,94.6,0.3,2.0,2.3,-,-,-,-,-,
06279,804,（みつば類） 糸みつば 葉 ゆで,93.7,0.4,2.6,3.0,-,-,-,-,-,
06360,805,みぶな 葉 生,93.9,0.3,1.5,1.8,-,-,-,-,-,
06280,806,（みょうが類） みょうが 花穂 生,95.6,0.4,1.7,2.1,-,-,-,-,-,
06281,807,（みょうが類） みょうがたけ 茎葉 生,97.1,0.1,1.0,1.1,-,-,-,-,-,
06282,808,むかご 肉芽 生,75.1,0.8,3.4,4.2,-,-,-,-,-,
06283,809,めキャベツ 結球葉 生,83.2,1.4,4.1,5.5,-,-,-,-,-,
06284,810,めキャベツ 結球葉 ゆで,83.8,1.4,3.8,5.2,-,-,-,-,-,
06285,811,めたで 芽ばえ 生,87.0,0.6,5.7,6.3,-,-,-,-,-,
06286,812,（もやし類） アルファルファもやし 生,96.0,0.1,1.3,1.4,-,-,-,-,-,
06287,813,（もやし類） だいずもやし 生,92.0,0.2,2.1,2.3,-,-,-,-,-,
06288,814,（もやし類） だいずもやし ゆで,93.0,0.3,1.9,2.2,-,-,-,-,-,
06289,815,（もやし類） ブラックマッペもやし 生,94.7,0.1,1.4,1.5,-,-,-,-,-,
06290,816,（もやし類） ブラックマッペもやし ゆで,95.8,0.2,1.4,1.6,-,-,-,-,-,
06291,818,（もやし類） りょくとうもやし 生,95.4,0.1,1.2,1.3,-,-,-,-,-,
06292,819,（もやし類） りょくとうもやし ゆで,95.9,0.2,1.3,1.5,-,-,-,-,-,
06293,820,モロヘイヤ 茎葉 生,86.1,1.3,4.6,5.9,-,-,-,-,-,
06294,821,モロヘイヤ 茎葉 ゆで,91.3,0.8,2.7,3.5,-,-,-,-,-,
06401,822,やぶまめ 生,45.8,-,-,9.8,-,-,-,-,-,
06295,823,やまごぼう みそ漬,72.8,3.1,3.9,7.0,-,-,-,-,-,
06296,824,ゆりね りん茎 生,66.5,3.3,2.1,5.4,-,-,-,-,-,
06297,825,ゆりね りん茎 ゆで,66.5,3.2,2.8,6.0,-,-,-,-,-,
06298,826,ようさい 茎葉 生,93.0,0.4,2.7,3.1,-,-,-,-,-,
06299,827,ようさい 茎葉 ゆで,92.4,0.4,3.0,3.4,-,-,-,-,-,
06300,828,よめな 葉 生,84.6,1.3,6.5,7.8,-,-,-,-,-,
06301,829,よもぎ 葉 生,83.6,0.9,6.9,7.8,-,-,-,-,-,
06302,830,よもぎ 葉 ゆで,85.9,0.9,6.9,7.8,-,-,-,-,-,
06303,831,らっかせい 未熟豆 生,50.1,0.1,3.9,4.0,-,-,-,-,-,
06304,832,らっかせい 未熟豆 ゆで,51.3,0.2,4.0,4.2,-,-,-,-,-,
06305,833,（らっきょう類） らっきょう りん茎 生,68.3,18.6,2.1,20.7,-,-,-,-,-,
06306,834,（らっきょう類） らっきょう 甘酢漬,67.5,1.3,1.5,2.9,-,-,-,-,-,
06307,835,（らっきょう類） エシャレット りん茎 生,79.1,9.1,2.3,11.4,-,-,-,-,-,
06308,836,リーキ りん茎葉 生,90.8,0.4,2.1,2.5,-,-,-,-,-,
06309,837,リーキ りん茎葉 ゆで,91.3,0.7,1.9,2.6,-,-,-,-,-,
06319,838,ルッコラ 葉 生,92.7,0.3,2.3,2.6,-,-,-,-,-,
06310,839,ルバーブ 葉柄 生,92.1,0.5,2.0,2.5,-,-,-,-,-,
06311,840,ルバーブ 葉柄 ゆで,94.1,0.7,2.2,2.9,-,-,-,-,-,
06312,841,（レタス類） レタス 土耕栽培 結球葉 生,95.9,0.1,1.0,1.1,-,-,-,-,-,
06361,842,（レタス類） レタス 水耕栽培 結球葉 生,95.3,0.2,0.9,1.1,-,-,-,-,-,
06313,843,（レタス類） サラダな 葉 生,94.9,0.2,1.6,1.8,-,-,-,-,-,
06314,844,（レタス類） リーフレタス 葉 生,94.0,0.5,1.4,1.9,-,-,-,-,-,
06315,845,（レタス類） サニーレタス 葉 生,94.1,0.6,1.4,2.0,-,-,-,-,-,
06362,846,（レタス類） サンチュ 葉 生,94.5,0.4,1.5,2.0,-,-,-,-,-,
06316,847,（レタス類） コスレタス 葉 生,94.5,0.4,1.5,1.9,-,-,-,-,-,
06317,848,れんこん 根茎 生,81.5,0.2,1.8,2.0,-,-,-,-,-,
06318,849,れんこん 根茎 ゆで,81.9,0.2,2.1,2.3,-,-,-,-,-,
06371,850,れんこん 甘酢れんこん,80.8,0.3,2.0,2.3,-,-,-,-,-,
06320,851,わけぎ 葉 生,90.3,0.3,2.5,2.8,-,-,-,-,-,
06321,852,わけぎ 葉 ゆで,90.4,1.2,1.9,3.1,-,-,-,-,-,
06322,853,わさび 根茎 生,74.2,0.8,3.6,4.4,-,-,-,-,-,
06323,854,わさび わさび漬,61.4,1.0,1.7,2.7,-,-,-,-,-,
06324,855,わらび 生わらび 生,92.7,0.8,2.8,3.6,-,-,-,-,-,
06325,856,わらび 生わらび ゆで,95.2,0.5,2.5,3.0,-,-,-,-,-,
06326,857,わらび 干しわらび 乾,10.4,10.0,48.0,58.0,-,-,-,-,-,
06382,858,（その他） ミックスベジタブル 冷凍,80.5,-,-,-,0.3,1.0,4.6,0.4,5.9,原材料配合割合から推計
06383,859,（その他） ミックスベジタブル 冷凍 ゆで,80.9,-,-,-,0.4,1.1,5.1,0.5,6.5,原材料配合割合から推計
06384,860,（その他） ミックスベジタブル 冷凍 油いため,75.5,-,-,-,0.3,1.1,4.5,0.6,5.9,原材料配合割合から推計
06399,861,（その他） 野菜ミックスジュース 通常タイプ,93.9,-,-,-,Tr,0.4,0.5,-,0.9,
06400,862,（その他） 野菜ミックスジュース 濃縮タイプ,90.0,-,-,-,0.1,0.6,0.3,-,1.0,
07001,863,あけび 果肉 生,77.1,0.6,0.5,1.1,-,-,-,-,-,
07002,864,あけび 果皮 生,90.4,1.4,1.7,3.1,-,-,-,-,-,
07181,865,アサイー 冷凍 無糖,87.7,-,-,-,0.1,0.9,3.8,-,4.7,
07003,866,アセロラ 酸味種 生,89.9,0.8,1.1,1.9,-,-,-,-,-,
07159,867,アセロラ 甘味種 生,89.9,0.8,1.1,1.9,-,-,-,-,-,
07004,868,アセロラ 果実飲料 10%果汁入り飲料,89.4,0.1,0.1,0.2,-,-,-,-,-,
07005,869,アテモヤ 生,77.7,0.7,2.6,3.3,-,-,-,-,-,
07006,870,アボカド 生,71.3,1.7,3.9,5.6,-,-,-,-,-,
07007,871,あんず 生,89.8,0.6,1.0,1.6,-,-,-,-,-,
07008,872,あんず 乾,16.8,4.3,5.5,9.8,-,-,-,-,-,
07009,873,あんず 缶詰,79.8,0.4,0.4,0.8,-,-,-,-,-,
07010,874,あんず ジャム 高糖度,34.5,0.5,0.2,0.7,-,-,-,-,-,
07011,875,あんず ジャム 低糖度,48.8,0.9,0.3,1.2,-,-,-,-,-,
07012,876,いちご 生,90.0,0.5,0.9,1.4,-,-,-,-,-,
07013,877,いちご ジャム 高糖度,36.0,0.7,0.6,1.3,-,-,-,-,-,
07014,878,いちご ジャム 低糖度,50.7,0.7,0.4,1.1,-,-,-,-,-,
07160,879,いちご 乾,15.4,1.2,1.7,3.0,-,-,-,-,-,
07015,880,いちじく 生,84.6,0.7,1.2,1.9,-,-,-,-,-,
07016,881,いちじく 乾,18.0,3.4,7.3,10.7,-,-,-,-,-,
07017,882,いちじく 缶詰,79.7,0.6,0.6,1.2,-,-,-,-,-,
07019,883,うめ 生,90.4,0.9,1.6,2.5,-,-,-,-,-,
07020,884,うめ 梅漬 塩漬,72.3,1.1,1.6,2.7,-,-,-,-,-,
07021,885,うめ 梅漬 調味漬,80.2,1.2,2.2,3.4,-,-,-,-,-,
07022,886,うめ 梅干し 塩漬,72.2,1.4,2.2,3.3,-,-,-,-,-,
07023,887,うめ 梅干し 調味漬,68.7,1.3,1.2,2.5,-,-,-,-,-,
07024,888,うめ 梅びしお,42.4,0.5,0.8,1.3,-,-,-,-,-,
07025,889,うめ 果実飲料 20%果汁入り飲料,87.6,0.1,0,0.1,-,-,-,-,-,
07037,890,オリーブ 塩漬 グリーンオリーブ,75.6,0.2,3.1,3.3,-,-,-,-,-,
07038,891,オリーブ 塩漬 ブラックオリーブ,81.6,0.4,2.1,2.5,-,-,-,-,-,
07039,892,オリーブ 塩漬 スタッフドオリーブ,75.4,0.8,2.9,3.7,-,-,-,-,-,
07049,893,かき 甘がき 生,83.1,0.2,1.4,1.6,-,-,-,-,-,
07050,894,かき 渋抜きがき 生,82.2,0.5,2.3,2.8,-,-,-,-,-,
07051,895,かき 干しがき,24.0,1.3,12.7,14.0,-,-,-,-,-,
07053,896,かりん 生,80.7,0.9,8.0,8.9,-,-,-,-,-,
07018,897,（かんきつ類） いよかん 砂じょう 生,86.7,0.5,0.6,1.1,-,-,-,-,-,
07026,898,（かんきつ類） うんしゅうみかん じょうのう 早生 生,87.2,0.3,0.4,0.7,-,-,-,-,-,
07027,899,（かんきつ類） うんしゅうみかん じょうのう 普通 生,86.9,0.5,0.5,1.0,-,-,-,-,-,
07028,900,（かんきつ類） うんしゅうみかん 砂じょう 早生 生,87.8,0.2,0.2,0.4,-,-,-,-,-,
07029,901,（かんきつ類） うんしゅうみかん 砂じょう 普通 生,87.4,0.2,0.2,0.4,-,-,-,-,-,
07030,902,（かんきつ類） うんしゅうみかん 果実飲料 ストレートジュース,88.5,0,0,0,-,-,-,-,-,
07031,903,（かんきつ類） うんしゅうみかん 果実飲料 濃縮還元ジュース,89.3,0,0,0,-,-,-,-,-,
07032,904,（かんきつ類） うんしゅうみかん 果実飲料 果粒入りジュース,86.7,Tr,0,Tr,-,-,-,-,-,
07033,905,（かんきつ類） うんしゅうみかん 果実飲料 50%果汁入り飲料,84.9,0.1,0,0.1,-,-,-,-,-,
07034,906,（かんきつ類） うんしゅうみかん 果実飲料 20%果汁入り飲料,87.4,0,0,0,-,-,-,-,-,
07035,907,（かんきつ類） うんしゅうみかん 缶詰 果肉,83.8,0.2,0.3,0.5,-,-,-,-,-,
07036,908,（かんきつ類） うんしゅうみかん 缶詰 液汁,84.1,0,0,0,-,-,-,-,-,
07040,909,（かんきつ類） オレンジ ネーブル 砂じょう 生,86.8,0.4,0.6,1.0,-,-,-,-,-,
07041,910,（かんきつ類） オレンジ バレンシア 米国産 砂じょう 生,88.7,0.3,0.5,0.8,-,-,-,-,-,
07042,911,（かんきつ類） オレンジ バレンシア 果実飲料 ストレートジュース,87.8,0.2,0.1,0.3,-,-,-,-,-,
07043,912,（かんきつ類） オレンジ バレンシア 果実飲料 濃縮還元ジュース,88.1,0.2,Tr,0.2,-,-,-,-,-,
07044,913,（かんきつ類） オレンジ バレンシア 果実飲料 50%果汁入り飲料,88.4,0.1,Tr,0.1,-,-,-,-,-,
07045,914,（かんきつ類） オレンジ バレンシア 果実飲料 30%果汁入り飲料,89.7,0,Tr,Tr,-,-,-,-,-,
07046,915,（かんきつ類） オレンジ バレンシア マーマレード 高糖度,36.4,0.5,0.2,0.7,-,-,-,-,-,
07047,916,（かんきつ類） オレンジ バレンシア マーマレード 低糖度,51.7,0.9,0.4,1.3,-,-,-,-,-,
07161,917,（かんきつ類） オレンジ 福原オレンジ 砂じょう 生,88.7,0.3,0.5,0.8,-,-,-,-,-,
07048,918,（かんきつ類） オロブランコ 砂じょう 生,88.7,0.3,0.6,0.9,-,-,-,-,-,
07052,919,（かんきつ類） かぼす 果汁 生,90.7,0.1,0,0.1,-,-,-,-,-,
07162,920,（かんきつ類） かわちばんかん 砂じょう 生,90.0,0.3,0.3,0.6,-,-,-,-,-,
07163,921,（かんきつ類） きよみ 砂じょう 生,88.4,0.3,0.3,0.6,-,-,-,-,-,
07056,922,（かんきつ類） きんかん 全果 生,80.8,2.3,2.3,4.6,-,-,-,-,-,
07062,923,（かんきつ類） グレープフルーツ 白肉種 砂じょう 生,89.0,0.2,0.4,0.6,-,-,-,-,-,
07164,924,（かんきつ類） グレープフルーツ 紅肉種 砂じょう 生,89.0,0.2,0.4,0.6,-,-,-,-,-,
07063,925,（かんきつ類） グレープフルーツ 果実飲料 ストレートジュース,88.7,0.1,0,0.1,-,-,-,-,-,
07064,926,（かんきつ類） グレープフルーツ 果実飲料 濃縮還元ジュース,90.1,0.2,0,0.2,-,-,-,-,-,
07065,927,（かんきつ類） グレープフルーツ 果実飲料 50%果汁入り飲料,88.4,0.1,0,0.1,-,-,-,-,-,
07066,928,（かんきつ類） グレープフルーツ 果実飲料 20%果汁入り飲料,90.1,0,0,0,-,-,-,-,-,
07067,929,（かんきつ類） グレープフルーツ 缶詰,82.1,0.4,0.2,0.6,-,-,-,-,-,
07074,930,（かんきつ類） さんぼうかん 砂じょう 生,87.6,0.3,0.6,0.9,-,-,-,-,-,
07075,931,（かんきつ類） シークヮーサー 果汁 生,90.9,0.3,0,0.3,-,-,-,-,-,
07076,932,（かんきつ類） シークヮーサー 果実飲料 10%果汁入り飲料,88.1,0,0,0,-,-,-,-,-,
07165,933,（かんきつ類） しらぬひ 砂じょう 生,85.8,0.3,0.3,0.6,-,-,-,-,-,
07078,934,（かんきつ類） すだち 果皮 生,80.7,2.8,7.3,10.1,-,-,-,-,-,
07079,935,（かんきつ類） すだち 果汁 生,92.5,0.1,Tr,0.1,-,-,-,-,-,
07166,936,（かんきつ類） せとか 砂じょう 生,86.9,0.4,0.3,0.7,-,-,-,-,-,
07085,937,（かんきつ類） セミノール 砂じょう 生,86.0,0.3,0.5,0.8,-,-,-,-,-,
07083,938,（かんきつ類） だいだい 果汁 生,91.2,0,0,0,-,-,-,-,-,
07093,939,（かんきつ類） なつみかん 砂じょう 生,88.6,0.4,0.8,1.2,-,-,-,-,-,
07094,940,（かんきつ類） なつみかん 缶詰,79.7,0.3,0.2,0.5,-,-,-,-,-,
07105,941,（かんきつ類） はっさく 砂じょう 生,87.2,0.2,1.3,1.5,-,-,-,-,-,
07167,942,（かんきつ類） はるみ 砂じょう 生,86.5,0.4,0.4,0.8,-,-,-,-,-,
07112,943,（かんきつ類） ひゅうがなつ じょうのう及びアルベド 生,87.2,1.0,1.1,2.1,-,-,-,-,-,
07113,944,（かんきつ類） ひゅうがなつ 砂じょう 生,90.7,0.3,0.4,0.7,-,-,-,-,-,
07126,945,（かんきつ類） ぶんたん 砂じょう 生,89.0,0.3,0.6,0.9,-,-,-,-,-,
07127,946,（かんきつ類） ぶんたん ざぼん漬,14.0,1.3,1.4,2.7,-,-,-,-,-,
07129,947,（かんきつ類） ぽんかん 砂じょう 生,88.8,0.4,0.6,1.0,-,-,-,-,-,
07142,948,（かんきつ類） ゆず 果皮 生,83.7,3.3,3.6,6.9,-,-,-,-,-,
07143,949,（かんきつ類） ゆず 果汁 生,92.0,0.3,0.1,0.4,-,-,-,-,-,
07145,950,（かんきつ類） ライム 果汁 生,89.8,0.2,0,0.2,-,-,-,-,-,
07155,951,（かんきつ類） レモン 全果 生,85.3,2.0,2.9,4.9,-,-,-,-,-,
07156,952,（かんきつ類） レモン 果汁 生,90.5,Tr,0,Tr,-,-,-,-,-,
07054,953,キウイフルーツ 緑肉種 生,84.7,0.6,2.0,2.6,-,-,-,-,-,
07168,954,キウイフルーツ 黄肉種 生,83.2,0.5,0.9,1.4,-,-,-,-,-,
07055,956,キワノ 生,89.2,0.6,2.0,2.6,-,-,-,-,-,
07057,957,グァバ 赤肉種 生,88.9,0.7,4.4,5.1,-,-,-,-,-,
07169,958,グァバ 白肉種 生,88.9,0.7,4.4,5.1,-,-,-,-,-,
07058,959,グァバ 果実飲料 20%果汁入り飲料 （ネクター）,87.4,0.2,0.6,0.8,-,-,-,-,-,
07059,960,グァバ 果実飲料 10%果汁入り飲料,87.4,0,0.2,0.2,-,-,-,-,-,
07061,962,ぐみ 生,81.0,0.2,1.8,2.0,-,-,-,-,-,
07157,963,ココナッツ ココナッツウォーター,94.3,0,0,0,-,-,-,-,-,
07158,964,ココナッツ ココナッツミルク,78.8,0.2,0,0.2,-,-,-,-,-,
07170,965,ココナッツ ナタデココ,79.7,Tr,0.5,0.5,-,-,-,-,-,
07070,966,さくらんぼ 国産 生,83.1,0.1,1.1,1.2,-,-,-,-,-,
07071,967,さくらんぼ 米国産 生,81.1,0.6,0.8,1.4,-,-,-,-,-,
07072,968,さくらんぼ 米国産 缶詰,81.5,0.6,0.4,1.0,-,-,-,-,-,
07073,969,ざくろ 生,83.9,0,0,0,-,-,-,-,-,
07077,970,すいか 赤肉種 生,89.6,0.1,0.2,0.3,-,-,-,-,-,
07171,971,すいか 黄肉種 生,89.6,0.1,0.2,0.3,-,-,-,-,-,
07182,972,（すぐり類） カシス 冷凍,79.4,-,-,-,0.1,0.5,5.8,-,6.4,
07060,973,（すぐり類） グーズベリー 生,85.2,0.7,1.8,2.5,-,-,-,-,-,
07069,974,スターフルーツ 生,91.4,0.4,1.4,1.8,-,-,-,-,-,
07080,975,（すもも類） にほんすもも 生,88.6,0.4,1.2,1.6,-,-,-,-,-,
07081,976,（すもも類） プルーン 生,86.2,0.9,1.0,1.9,-,-,-,-,-,
07082,977,（すもも類） プルーン 乾,33.3,3.4,3.8,7.1,-,-,-,-,-,
07086,978,チェリモヤ 生,78.1,0.8,1.4,2.2,-,-,-,-,-,
07111,979,ドラゴンフルーツ 生,85.7,0.3,1.6,1.9,-,-,-,-,-,
07087,980,ドリアン 生,66.4,0.7,1.4,2.1,-,-,-,-,-,
07088,981,（なし類） 日本なし 生,88.0,0.2,0.7,0.9,-,-,-,-,-,
07089,982,（なし類） 日本なし 缶詰,80.5,0.1,0.6,0.7,-,-,-,-,-,
07090,983,（なし類） 中国なし 生,86.8,0.3,1.1,1.4,-,-,-,-,-,
07091,984,（なし類） 西洋なし 生,84.9,0.7,1.2,1.9,-,-,-,-,-,
07092,985,（なし類） 西洋なし 缶詰,78.8,0.4,0.6,1.0,-,-,-,-,-,
07095,986,なつめ 乾,21.0,2.7,9.8,12.5,-,-,-,-,-,
07096,987,なつめやし 乾,24.8,1.5,5.5,7.0,-,-,-,-,-,
07097,988,パインアップル 生,85.2,0.2,1.0,1.2,-,-,-,-,-,
07177,989,パインアップル 焼き,78.2,0.2,1.5,1.7,-,-,-,-,-,
07098,990,パインアップル 果実飲料 ストレートジュース,88.2,0,0,0,-,-,-,-,-,
07099,991,パインアップル 果実飲料 濃縮還元ジュース,88.3,0,0,0,-,-,-,-,-,
07100,992,パインアップル 果実飲料 50%果汁入り飲料,87.3,0,0,0,-,-,-,-,-,
07101,993,パインアップル 果実飲料 10%果汁入り飲料,87.6,0,0,0,-,-,-,-,-,
07102,994,パインアップル 缶詰,78.9,0,0.5,0.5,-,-,-,-,-,
07103,995,パインアップル 砂糖漬,12.0,0,1.3,1.3,-,-,-,-,-,
07104,996,ハスカップ 生,85.5,0.6,1.5,2.1,-,-,-,-,-,
07106,997,パッションフルーツ 果汁 生,82.0,0,0,0,-,-,-,-,-,
07107,998,バナナ 生,75.4,0.1,1.0,1.1,-,-,-,-,-,
07108,999,バナナ 乾,14.3,2.0,5.0,7.0,-,-,-,-,-,
07109,1000,パパイア 完熟 生,89.2,0.7,1.5,2.2,-,-,-,-,-,
07110,1001,パパイア 未熟 生,88.7,0.4,1.8,2.2,-,-,-,-,-,
07114,1002,びわ 生,88.6,0.4,1.2,1.6,-,-,-,-,-,
07115,1003,びわ 缶詰,79.6,0.3,0.3,0.6,-,-,-,-,-,
07116,1004,ぶどう 皮なし 生,83.5,0.2,0.3,0.5,-,-,-,-,-,
07178,1005,ぶどう 皮つき 生,81.7,0.2,0.6,0.9,-,-,-,-,-,
07117,1006,ぶどう 干しぶどう,14.5,1.2,2.9,4.1,-,-,-,-,-,
07118,1007,ぶどう 果実飲料 ストレートジュース,84.8,0.1,Tr,0.1,-,-,-,-,-,
07119,1008,ぶどう 果実飲料 濃縮還元ジュース,87.2,0.1,Tr,0.1,-,-,-,-,-,
07120,1009,ぶどう 果実飲料 70%果汁入り飲料,86.8,0.1,Tr,0.1,-,-,-,-,-,
07121,1010,ぶどう 果実飲料 10%果汁入り飲料,86.9,Tr,0,Tr,-,-,-,-,-,
07122,1011,ぶどう 缶詰,78.9,0.2,0,0.2,-,-,-,-,-,
07123,1012,ぶどう ジャム,51.4,1.0,0.5,1.5,-,-,-,-,-,
07124,1013,ブルーベリー 生,86.4,0.5,2.8,3.3,-,-,-,-,-,
07125,1014,ブルーベリー ジャム,55.1,0.5,3.8,4.3,-,-,-,-,-,
07172,1015,ブルーベリー 乾,21.9,3.0,14.7,17.6,-,-,-,-,-,
07128,1016,ホワイトサポテ 生,79.0,1.8,1.3,3.1,-,-,-,-,-,
07130,1017,まくわうり 黄肉種 生,90.8,0.4,0.6,1.0,-,-,-,-,-,
07173,1018,まくわうり 白肉種 生,90.8,0.4,0.6,1.0,-,-,-,-,-,
07131,1019,マルメロ 生,84.2,0.7,4.4,5.1,-,-,-,-,-,
07132,1020,マンゴー 生,82.0,0.6,0.7,1.3,-,-,-,-,-,
07179,1021,マンゴー ドライマンゴー,9.3,2.8,3.6,6.4,-,-,-,-,-,
07133,1022,マンゴスチン 生,81.5,0.5,0.9,1.4,-,-,-,-,-,
07134,1023,メロン 温室メロン 生,87.8,0.2,0.3,0.5,-,-,-,-,-,
07135,1024,メロン 露地メロン 緑肉種 生,87.9,0.2,0.3,0.5,-,-,-,-,-,
07174,1025,メロン 露地メロン 赤肉種 生,87.9,0.2,0.3,0.5,-,-,-,-,-,
07136,1026,（もも類） もも 白肉種 生,88.7,0.6,0.7,1.3,-,-,-,-,-,
07184,1027,（もも類） もも 黄肉種 生,85.4,-,-,-,0.1,0.9,0.9,-,1.9,
07137,1028,（もも類） もも 果実飲料 30%果汁入り飲料 （ネクター）,88.0,0.2,0.2,0.4,-,-,-,-,-,
07138,1029,（もも類） もも 缶詰 白肉種 果肉,78.5,0.5,0.9,1.4,-,-,-,-,-,
07175,1030,（もも類） もも 缶詰 黄肉種 果肉,78.5,0.5,0.9,1.4,-,-,-,-,-,
07139,1031,（もも類） もも 缶詰 液汁,79.5,0.3,0,0.3,-,-,-,-,-,
07140,1032,（もも類） ネクタリン 生,87.8,0.7,1.0,1.7,-,-,-,-,-,
07141,1033,やまもも 生,87.8,0.3,0.8,1.1,-,-,-,-,-,
07144,1034,ライチー 生,82.1,0.4,0.5,0.9,-,-,-,-,-,
07146,1035,ラズベリー 生,88.2,0.7,4.0,4.7,-,-,-,-,-,
07147,1036,りゅうがん 乾,19.4,1.0,1.8,2.8,-,-,-,-,-,
07148,1037,りんご 皮なし 生,84.1,0.4,1.0,1.4,-,-,-,-,-,
07176,1038,りんご 皮つき 生,83.1,0.5,1.4,1.9,-,-,-,-,-,
07180,1039,りんご 皮つき 焼き,77.2,0.6,1.9,2.5,-,-,-,-,-,
07149,1040,りんご 果実飲料 ストレートジュース,87.7,Tr,Tr,Tr,-,-,-,-,-,
07150,1041,りんご 果実飲料 濃縮還元ジュース,88.1,Tr,Tr,Tr,-,-,-,-,-,
07151,1042,りんご 果実飲料 50%果汁入り飲料,88.3,0,0,0,-,-,-,-,-,
07152,1043,りんご 果実飲料 30%果汁入り飲料,88.5,0,0,0,-,-,-,-,-,
07153,1044,りんご 缶詰,79.4,0.2,0.2,0.4,-,-,-,-,-,
07154,1045,りんご ジャム,46.9,0.5,0.3,0.8,-,-,-,-,-,
08001,1046,えのきたけ 生,88.6,0.4,3.5,3.9,-,-,-,-,-,
08002,1047,えのきたけ ゆで,88.6,0.3,4.2,4.5,-,-,-,-,-,
08037,1048,えのきたけ 油いため,83.3,0.4,4.2,4.6,-,-,-,-,-,
08003,1049,えのきたけ 味付け瓶詰,74.1,1.1,3.0,4.1,-,-,-,-,-,
08054,1050,（きくらげ類） あらげきくらげ 生,93.6,0.8,4.8,5.6,-,-,-,-,-,
08004,1051,（きくらげ類） あらげきくらげ 乾,13.1,6.3,73.1,79.5,-,-,-,-,-,
08005,1052,（きくらげ類） あらげきくらげ ゆで,82.3,1.3,15.0,16.3,-,-,-,-,-,
08038,1053,（きくらげ類） あらげきくらげ 油いため,64.2,2.4,26.2,28.6,-,-,-,-,-,
08006,1054,（きくらげ類） きくらげ 乾,14.9,0,57.4,57.4,-,-,-,-,-,
08007,1055,（きくらげ類） きくらげ ゆで,93.8,0,5.2,5.2,-,-,-,-,-,
08008,1056,（きくらげ類） しろきくらげ 乾,14.6,19.3,49.4,68.7,-,-,-,-,-,
08009,1057,（きくらげ類） しろきくらげ ゆで,92.6,1.2,5.2,6.4,-,-,-,-,-,
08010,1058,くろあわびたけ 生,90.2,0.2,3.9,4.1,-,-,-,-,-,
08039,1059,しいたけ 生しいたけ 菌床栽培 生,89.6,0.4,4.1,4.6,0.2,0.6,4.2,-,4.9,
08040,1060,しいたけ 生しいたけ 菌床栽培 ゆで,91.5,0.2,4.2,4.4,-,-,-,-,-,
08041,1061,しいたけ 生しいたけ 菌床栽培 油いため,84.7,0.2,4.5,4.7,-,-,-,-,-,
08057,1062,しいたけ 生しいたけ 菌床栽培 天ぷら,64.1,-,-,-,0.4,0.7,3.3,-,4.4,
08042,1063,しいたけ 生しいたけ 原木栽培 生,88.3,0.4,5.1,5.5,-,-,-,-,-,
08043,1064,しいたけ 生しいたけ 原木栽培 ゆで,90.8,0.2,4.6,4.8,-,-,-,-,-,
08044,1065,しいたけ 生しいたけ 原木栽培 油いため,81.3,0.3,6.0,6.4,-,-,-,-,-,
08013,1066,しいたけ 乾しいたけ 乾,9.1,2.7,44.0,46.7,-,-,-,-,-,
08014,1067,しいたけ 乾しいたけ ゆで,86.2,0.5,6.2,6.7,-,-,-,-,-,
08053,1068,しいたけ 乾しいたけ 甘煮,64.7,0.7,6.0,6.7,-,-,-,-,-,
08015,1069,（しめじ類） はたけしめじ 生,92.0,0.2,2.5,2.7,-,-,-,-,-,
08045,1070,（しめじ類） はたけしめじ ゆで,91.3,0.2,4.4,4.6,-,-,-,-,-,
08016,1071,（しめじ類） ぶなしめじ 生,91.1,0.3,3.2,3.5,0.1,0.4,2.5,-,3.0,
08017,1072,（しめじ類） ぶなしめじ ゆで,91.1,0.1,4.0,4.1,Tr,0.3,3.9,-,4.2,
08046,1073,（しめじ類） ぶなしめじ 油いため,85.9,0.3,4.0,4.3,Tr,0.3,3.4,-,3.7,
08055,1074,（しめじ類） ぶなしめじ 素揚げ,70.5,-,-,-,Tr,0.6,5.5,-,6.2,
08056,1075,（しめじ類） ぶなしめじ 天ぷら,55.5,-,-,-,0.5,0.9,3.5,-,4.8,
08018,1076,（しめじ類） ほんしめじ 生,93.6,0.3,1.6,1.9,-,-,-,-,-,
08047,1077,（しめじ類） ほんしめじ ゆで,92.1,0.1,3.2,3.3,-,-,-,-,-,
08019,1078,たもぎたけ 生,91.7,0.2,3.1,3.3,-,-,-,-,-,
