,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
15061,2126,＜和干菓子類＞ ボーロ 小粒,1663,391,4.5,2.3,"2.5",1.9,"74",2.1,97.3,90.7,"91.1","0",-,90.6,-,0.3,30,44,15,5,54,0.6,0.2,0.03,Tr,7,5,3,1,42,0,0,2,0,0,"0.8",0.3,0,0.1,0,2,0.01,"0.07","Tr",0.6,0.02,"0.2","10",0.23,4.8,0,-,0.1
15062,2127,＜和干菓子類＞ ボーロ そばボーロ,1692,398,2.0,7.0,"7.7",3.0,"87",3.4,90.4,84.4,"85.5","1.5",0,86.1,0,0.8,130,130,21,30,110,0.9,0.7,0.12,0.32,8,8,1,11,49,0,0,3,0,0,"0.9",0.4,0.1,0.9,Tr,3,0.12,"0.11","0.8",2.6,0.07,"0.3","21",0.68,8.1,0,-,0.3
15063,2128,＜和干菓子類＞ 松風,1612,378,5.3,3.7,"4.0",0.6,"0",0.7,94.7,88.4,"88.9","1.2",0,89.7,-,0.2,27,54,10,6,29,0.3,0.1,0.05,0.21,0,2,1,6,0,0,0,0,0,0,"0",0.1,0.1,0,0,0,0.05,"0.02","0.3",1.1,0.01,"0","4",0.26,0.6,0,-,0.1
15064,2129,＜和干菓子類＞ みしま豆,1700,402,1.6,11.5,"12.3",8.2,"0",8.6,72.0,68.6,"71.0","6.0",0,75.8,-,1.7,1,680,65,86,220,2.7,1.4,0.38,0.92,0,2,4,130,0,0,1,0,1,0,"0",0.6,0.4,3.8,2.9,9,0.02,"0.08","0.7",3.6,0.17,"0","75",0.34,10.0,0,-,0
15065,2130,＜和干菓子類＞ 八つ橋,1663,390,1.8,2.9,"3.3",0.5,"0",0.5,99.7,93.0,"94.4","0.3",0,94.2,-,0.2,1,49,3,13,51,0.4,0.8,0.13,0.44,0,1,0,38,0,0,0,0,0,0,"0",0.1,0,0,0,0,0.04,"0.01","0.7",1.4,0.07,"0","7",0.36,0.8,0,-,0
15066,2131,＜和干菓子類＞ らくがん らくがん,1636,384,3.0,2.0,"2.4",0.2,"0",0.2,99.6,93.4,"94.5","0.2",0,94.3,-,0.1,2,19,3,3,17,0.2,0.5,0.08,0.30,0,0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0.01,"Tr","0.1",0.7,0.01,"0","2",0.07,Tr,0,-,0
15067,2132,＜和干菓子類＞ らくがん 麦らくがん,1685,396,2.4,4.2,"4.8",1.5,"0",1.8,94.6,88.7,"85.8","5.4",0,90.4,-,0.7,2,170,16,46,120,1.1,1.4,0.16,0.68,0,0,0,0,0,0,0,0,0,0,"0",0.2,Tr,0.1,0,0,0.03,"0.04","2.7",3.8,0.03,"0","9",0.11,Tr,0,-,0
15068,2133,＜和干菓子類＞ らくがん もろこしらくがん,1591,374,2.5,5.7,"6.6",0.2,"0",0.3,89.5,84.4,"84.1","6.9",0,89.9,-,0.6,130,51,16,22,58,1.8,0.7,0.13,0.43,Tr,1,4,46,0,0,0,0,0,0,"0",Tr,0,0.9,1.0,1,0.01,"0.01","0.2",1.5,0.01,"0","1",0.08,2.0,0,-,0.3
15125,2134,＜菓子パン類＞ 揚げパン,1543,369,27.7,7.5,"8.7",17.8,"3",18.7,-,-,"43.8","1.8",-,43.5,-,1.4,450,110,42,19,86,0.6,0.7,0.09,0.29,22,13,1,11,1,0,3,0,3,2,"0",4.3,0.2,4.5,0.2,0,0.18,"0.13","1.2",2.7,0.05,"0.1","33",0.32,4.0,0,-,1.1
15069,2135,＜菓子パン類＞ あんパン こしあん入り,1075,253,35.5,6.2,"6.8",3.4,"18",3.6,51.6,48.0,"51.9","2.5",-,53.5,Tr,0.6,110,66,31,16,57,1.0,0.7,0.11,0.27,2,13,1,22,10,0,0,1,0,0,"0.2",0.4,0.1,0.6,1.0,2,0.06,"0.07","0.5",1.7,0.03,"0.1","28",0.36,3.4,0,-,0.3
15168,2136,＜菓子パン類＞ あんパン つぶしあん入り,1126,266,35.5,6.3,"7.0",3.5,"18",3.8,54.1,50.3,"50.7","3.3",-,53.0,Tr,0.7,130,120,23,18,68,1.0,0.7,0.14,0.27,2,14,1,29,10,0,0,1,0,0,"0.2",0.4,0.1,0.7,0.9,3,0.06,"0.07","0.6",1.7,0.04,"0.1","32",0.43,3.6,0,-,0.3
15126,2137,＜菓子パン類＞ あんパン 薄皮タイプ こしあん入り,1089,257,37.4,6.0,"6.6",3.0,"17",3.5,53.6,50.3,"50.6","2.4",-,51.9,Tr,0.6,110,64,30,15,55,1.0,0.6,0.10,0.26,2,13,1,21,10,0,0,1,0,0,"0.2",0.4,0.1,0.6,1.0,2,0.06,"0.07","0.5",1.7,0.03,"0.1","27",0.35,3.3,0,-,0.3
15169,2138,＜菓子パン類＞ あんパン 薄皮タイプ つぶしあん入り,1095,258,37.4,6.1,"6.8",3.4,"17",3.7,52.5,48.8,"49.2","3.2",-,51.4,Tr,0.7,130,110,22,18,66,0.9,0.7,0.13,0.26,2,13,1,28,10,0,0,1,0,0,"0.2",0.4,0.1,0.7,0.9,3,0.06,"0.07","0.5",1.7,0.04,"0.1","31",0.41,3.5,0,-,0.3
15127,2139,＜菓子パン類＞ カレーパン 皮及び具,1264,302,41.3,5.7,"6.6",17.3,"13",18.3,32.0,29.5,"32.5","1.6",0,32.3,0.1,1.5,490,130,24,17,91,0.7,0.6,0.07,0.28,4,14,3,11,7,110,270,2,320,34,"0",2.1,0.1,1.6,0.5,8,0.11,"0.15","1.1",2.2,0.05,"0.1","17",0.26,3.3,0,-,1.2
15128,2140,＜菓子パン類＞ カレーパン 皮のみ,1516,363,30.8,6.2,"7.2",21.2,"14",22.4,38.5,35.3,"39.2","1.3",0,38.4,-,1.2,390,100,23,16,100,0.7,0.6,0.08,0.28,3,18,2,13,9,2,10,1,11,10,"0",2.7,0.2,2.0,0.5,9,0.11,"0.18","1.1",2.4,0.04,"0.1","21",0.26,3.7,0,-,1.0
15129,2141,＜菓子パン類＞ カレーパン 具のみ,703,168,64.5,4.5,"5.3",8.7,"11",9.3,17.7,16.7,"17.5","2.4",0,18.8,0.3,2.1,710,200,28,19,69,0.7,0.7,0.07,0.28,4,6,5,8,2,340,850,5,1000,87,"0",0.7,Tr,0.8,0.5,5,0.11,"0.07","1.1",2.0,0.07,"0.1","9",0.24,2.3,0,-,1.8
15070,2142,＜菓子パン類＞ クリームパン,1206,286,35.5,7.1,"7.9",6.8,"98",7.4,45.7,42.3,"48.3","1.3",-,48.3,0.1,0.9,150,110,56,15,110,0.8,0.8,0.08,0.15,13,20,1,13,64,0,2,3,3,52,"1.1",0.8,0.1,0.5,0.2,4,0.10,"0.14","0.7",2.0,0.07,"0.4","46",0.81,8.0,Tr,-,0.4
15130,2143,＜菓子パン類＞ クリームパン 薄皮タイプ,919,218,52.2,5.4,"6.0",6.3,"140",7.1,33.4,31.1,"34.6","0.6",-,33.9,0.1,0.8,83,110,71,11,120,0.7,0.8,0.05,0.09,19,14,0,8,91,0,3,4,5,86,"1.4",0.7,Tr,0.3,0.1,5,0.07,"0.15","0.3",1.6,0.06,"0.5","34",0.82,8.9,Tr,-,0.2
15071,2144,＜菓子パン類＞ ジャムパン,1205,285,32.0,4.9,"5.3",3.7,"20",3.9,56.2,52.5,"57.2","1.6",-,58.1,Tr,0.6,120,84,20,12,47,0.5,0.5,0.07,0.17,3,15,1,10,11,0,0,1,0,0,"0.2",0.5,0.1,0.4,0.1,2,0.07,"0.07","0.6",1.6,0.04,"0.1","40",0.42,3.3,3,-,0.3
15072,2145,＜菓子パン類＞ チョココロネ,1348,321,33.5,5.2,"5.8",14.6,"21",15.3,44.3,40.9,"44.6","1.1",0,44.4,0.1,0.9,170,160,76,18,92,0.6,0.6,0.09,0.12,6,12,3,9,26,0,34,1,37,21,"1.4",2.0,0.1,4.5,0.8,7,0.07,"0.14","0.5",1.6,0.04,"0.2","25",0.59,3.1,Tr,-,0.4
15131,2146,＜菓子パン類＞ チョコパン 薄皮タイプ,1425,340,35.0,4.1,"4.7",18.5,"16",19.4,41.4,38.2,"40.5","0.8",0,40.0,0.1,0.9,160,190,98,18,100,0.5,0.5,0.08,0.08,6,7,3,6,30,Tr,50,Tr,53,30,"1.9",2.6,0.1,6.3,1.0,9,0.06,"0.15","0.4",1.3,0.03,"0.2","14",0.58,2.3,Tr,-,0.4
15132,2147,＜菓子パン類＞ メロンパン,1475,349,20.9,6.7,"8.0",10.2,"37",10.5,60.6,56.2,"59.6","1.7",0,59.9,-,0.8,210,110,26,16,84,0.6,0.6,0.09,0.28,4,15,1,12,37,10,24,2,31,40,"0.2",1.2,0.1,0.7,0.1,3,0.09,"0.10","1.0",2.4,0.05,"0.1","29",0.38,3.2,0,-,0.5
15181,2148,＜菓子パン類＞ 菓子パン あんなし,1246,294,30.7,7.6,"8.2",5.8,"31",6.1,55.5,51.1,"53.3","1.7",0,54.1,Tr,0.9,190,92,26,16,67,0.6,0.7,0.09,0.18,4,24,1,15,17,0,0,1,0,0,"0.4",0.7,0.1,0.6,0.2,1,0.10,"0.11","0.9",2.3,0.05,"0.1","49",0.61,5.0,0,-,0.5
15073,2149,＜ケーキ・ペストリー類＞ シュークリーム,933,223,56.3,5.3,"6.0",10.4,"200",11.4,25.3,23.8,"26.8","0.3",0,25.5,0.1,0.9,73,100,65,7,70,0.2,0.3,0.02,0.03,12,4,0,6,150,Tr,13,7,15,130,"2",0.8,Tr,0.2,0,8,0.07,"0.18","0.1",1.6,0.07,"0.3","27",0.91,3.5,1,-,0.2
15074,2150,＜ケーキ・ペストリー類＞ スポンジケーキ,1197,283,32.0,7.3,"7.9",6.0,"170",7.5,52.8,49.3,"53.3","0.7",0,52.1,-,0.6,Tr,33,6,3,18,0.2,0.1,0.03,0.13,0,1,1,6,120,0,6,6,6,24,"1.7",0.7,0.1,0.2,0,6,0.06,"0.18","0.2",2.1,0.05,"0.5","24",0.68,11.0,0,0,0
15075,2151,＜ケーキ・ペストリー類＞ ショートケーキ 果実なし,1338,318,35.0,6.4,"6.9",13.8,"140",15.2,44.6,41.7,"43.6","0.6",0,42.3,Tr,0.6,Tr,25,5,3,14,0.1,0.1,0.02,0.10,0,1,1,6,130,0,28,4,28,63,"1.4",0.6,Tr,0.2,0,6,0.05,"0.15","0.2",1.8,0.04,"0.4","19",0.53,8.5,0,0,0
15170,2152,＜ケーキ・ペストリー類＞ ショートケーキ いちご,1320,314,35.0,6.3,"6.9",13.4,"140",14.7,44.3,41.5,"43.5","0.9",0,42.7,0.2,0.7,Tr,24,5,3,21,0.2,0.1,0.03,0.14,Tr,1,1,8,130,0,31,4,32,61,"1.3",0.7,Tr,0.2,0,7,0.05,"0.15","0.2",1.4,0.05,"0.4","40",0.59,8.4,15,-,0
15133,2153,＜ケーキ・ペストリー類＞ タルト （洋菓子）,1038,248,50.3,4.1,"4.7",12.3,"100",13.5,30.9,28.9,"30.3","1.4",0,30.5,0.6,1.0,27,12,28,2,69,0.3,0.3,0.05,0.21,5,1,Tr,11,120,0,37,4,39,110,"0.9",0.8,Tr,0.3,Tr,7,0.06,"0.12","0.4",1.4,0.06,"0.1","80",0.70,2.8,46,0.1,0.1
15134,2154,＜ケーキ・ペストリー類＞ チーズケーキ ベイクドチーズケーキ,1248,299,46.1,7.9,"8.5",19.3,"160",21.2,24.4,23.0,"25.2","0.2",0,23.3,0.5,0.9,190,90,54,9,97,0.5,0.7,0.02,0.05,13,13,0,7,190,0,1,8,98,190,"1.2",2.1,Tr,0.2,0,10,0.04,"0.23","0.1",2.2,0.05,"0.3","20",0.55,8.2,2,-,0.5
15135,2155,＜ケーキ・ペストリー類＞ チーズケーキ レアチーズケーキ,1448,348,43.1,5.3,"5.8",25.2,"64",27.5,21.9,20.5,"24.7","0.3",0,21.9,0.5,1.0,210,93,98,9,75,0.2,0.4,0.03,0.08,10,4,1,8,150,0,38,1,93,160,"0.2",0.7,Tr,0.1,0.1,8,0.04,"0.16","0.2",1.3,0.03,"0.1","8",0.34,1.9,2,0.8,0.5
15182,2156,＜ケーキ・ペストリー類＞ デニッシュペストリー アメリカンタイプ プレーン,1595,382,31.3,5.7,"6.2",25.0,"41",26.3,34.8,31.9,"34.8","2.1",-,35.1,Tr,1.1,300,92,27,13,68,0.6,0.7,0.07,0.11,4,14,Tr,9,53,0,41,1,41,40,"1.6",3.1,0.2,5.5,1.3,9,0.11,"0.12","1.0",2.2,0.05,"0.1","63",0.50,5.4,0,-,0.8
15076,2157,"＜ケーキ・ペストリー類＞ デニッシュペストリー デンマークタイプ プレーン ",1900,457,25.5,5.9,"6.5",32.3,"62",34.0,32.1,29.3,"30.5","2.7",-,33.2,Tr,0.8,220,80,17,13,70,0.7,0.7,0.07,0.10,5,14,Tr,8,78,0,52,2,52,56,"2.1",3.9,0.2,6.8,1.6,11,0.11,"0.12","0.9",2.3,0.06,"0.1","62",0.51,6.0,0,-,0.5
15183,2158,＜ケーキ・ペストリー類＞ デニッシュペストリー アメリカンタイプ あん入り こしあん,1385,330,32.8,5.3,"6.0",14.8,"24",15.6,45.3,42.2,"43.5","2.9",-,44.9,Tr,0.7,180,68,33,15,60,1.0,0.6,0.10,0.24,3,9,Tr,19,31,0,24,1,24,24,"0.9",1.8,0.1,3.6,1.6,7,0.07,"0.08","0.6",1.7,0.03,"0.1","38",0.31,3.7,0,-,0.5
15184,2159,＜ケーキ・ペストリー類＞ デニッシュペストリー アメリカンタイプ あん入り つぶしあん,1356,323,34.6,5.3,"6.0",14.8,"24",15.7,43.0,40.0,"40.8","3.6",-,42.9,Tr,0.8,200,120,23,17,70,1.0,0.7,0.12,0.23,3,9,1,26,31,0,24,1,24,24,"0.9",1.9,0.1,3.6,1.5,8,0.07,"0.08","0.6",1.8,0.04,"0.1","41",0.37,3.9,0,-,0.5
15171,2160,＜ケーキ・ペストリー類＞ デニッシュペストリー デンマークタイプ あん入り こしあん,1609,384,25.5,5.8,"6.5",20.1,"39",21.3,46.2,42.9,"44.6","3.3",-,46.1,-,0.6,130,65,29,16,64,1.1,0.7,0.10,0.25,3,9,Tr,20,48,0,32,1,32,35,"1.3",2.4,0.1,4.6,1.9,9,0.07,"0.09","0.6",1.8,0.03,"0.1","39",0.33,4.4,0,-,0.3
15172,2161,＜ケーキ・ペストリー類＞ デニッシュペストリー デンマークタイプ あん入り つぶしあん,1619,387,25.5,5.9,"6.6",20.7,"40",22.0,44.9,41.7,"42.9","4.2",-,45.2,-,0.7,160,120,19,19,77,1.1,0.7,0.14,0.24,3,9,1,27,50,0,33,1,33,36,"1.3",2.5,0.1,4.7,1.9,10,0.08,"0.09","0.6",1.9,0.05,"0.1","43",0.41,4.6,0,-,0.4
15185,2162,＜ケーキ・ペストリー類＞ デニッシュペストリー アメリカンタイプ あん入り カスタードクリーム,1273,304,42.8,5.2,"5.8",18.1,"93",19.3,31.3,29.0,"31.5","1.4",-,31.2,Tr,0.9,200,100,51,11,96,0.6,0.7,0.06,0.08,12,12,Tr,8,79,0,27,3,28,71,"1.7",2.2,0.1,3.5,0.8,8,0.09,"0.14","0.6",1.9,0.06,"0.3","49",0.65,7.3,0,-,0.5
15173,2163,＜ケーキ・ペストリー類＞ デニッシュペストリー デンマークタイプ あん入り カスタードクリーム,1745,419,25.5,6.6,"7.3",27.8,"130",29.6,36.3,33.5,"36.3","2.8",-,36.6,Tr,0.9,180,110,55,14,120,0.9,0.9,0.07,0.10,15,15,Tr,9,120,0,41,4,43,100,"2.5",3.3,0.2,5.3,1.2,12,0.11,"0.16","0.8",2.3,0.07,"0.4","60",0.80,9.4,0,-,0.5
15077,2164,＜ケーキ・ペストリー類＞ ドーナッツ イーストドーナッツ プレーン,1586,379,27.5,6.6,"7.2",19.4,"19",20.2,45.2,33.2,"43.8","1.5",-,43.9,0.1,1.2,310,100,41,13,73,0.5,0.6,0.07,0.17,5,17,1,12,10,0,0,1,0,0,"0.2",2.5,0.3,8.6,1.8,25,0.09,"0.11","0.7",1.9,0.05,"0.1","37",0.56,3.9,0,-,0.8
15174,2165,＜ケーキ・ペストリー類＞ ドーナッツ イーストドーナッツ あん入り こしあん,1434,341,27.5,6.1,"6.8",12.0,"12",12.6,53.7,44.8,"50.9","2.6",0,52.2,Tr,0.9,190,77,43,15,66,1.0,0.6,0.10,0.29,3,10,1,22,6,0,0,Tr,0,0,"0.1",1.5,0.2,5.6,2.0,17,0.06,"0.08","0.5",1.6,0.03,"0.1","23",0.36,3.0,0,-,0.5
15175,2166,＜ケーキ・ペストリー類＞ ドーナッツ イーストドーナッツ あん入り つぶしあん,1431,341,27.5,6.3,"7.0",12.4,"12",13.0,52.6,43.7,"49.4","3.4",0,51.5,Tr,1.0,190,64,26,8,46,0.3,0.4,0.05,0.11,3,10,1,29,7,0,0,Tr,0,0,"0.1",1.6,0.2,5.8,2.0,18,0.06,"0.08","0.5",1.7,0.04,"0.1","27",0.43,3.2,0,-,0.5
15176,2167,＜ケーキ・ペストリー類＞ ドーナッツ イーストドーナッツ あん入り カスタードクリーム,1554,371,27.5,7.0,"7.7",17.7,"97",18.9,46.1,36.3,"45.3","1.2",-,44.6,0.1,1.3,240,77,31,10,56,0.4,0.5,0.06,0.13,4,13,1,11,64,0,2,3,3,56,"1",2.2,0.2,6.7,1.4,22,0.10,"0.16","0.6",1.5,0.07,"0.2","40",0.84,3.6,Tr,-,0.6
15078,2168,＜ケーキ・ペストリー類＞ ドーナッツ ケーキドーナッツ プレーン,1552,368,20.0,6.6,"7.2",11.2,"90",11.7,63.4,58.7,"60.1","1.2",0,60.2,Tr,0.9,130,85,31,6,55,0.2,0.2,0.04,0.20,2,2,1,7,53,0,1,3,1,4,"0.9",1.3,0.1,2.7,0.6,9,0.07,"0.12","0.3",2.0,0.04,"0.3","16",0.58,6.4,0,-,0.3
15177,2169,＜ケーキ・ペストリー類＞ ドーナッツ ケーキドーナッツ あん入り こしあん,1483,351,20.0,7.6,"8.3",7.7,"120",5.4,66.4,62.2,"62.4","2.4",0,63.7,-,0.6,1,41,25,11,37,0.9,0.4,0.09,0.30,0,1,1,21,82,0,4,4,4,17,"0.7",0.5,Tr,0.5,1.1,6,0.05,"0.14","0.2",1.6,0.04,"0.3","18",0.50,8.5,0,-,0
15178,2170,＜ケーキ・ペストリー類＞ ドーナッツ ケーキドーナッツ あん入り つぶしあん,1488,352,20.0,7.8,"8.6",8.0,"120",5.7,65.4,61.3,"60.9","3.4",0,63.1,-,0.7,29,110,14,14,50,0.9,0.4,0.12,0.30,0,1,1,29,84,0,4,4,4,17,"0.7",0.6,Tr,0.6,1.0,8,0.05,"0.14","0.2",1.6,0.05,"0.3","22",0.58,8.8,0,-,0.1
15179,2171,＜ケーキ・ペストリー類＞ ドーナッツ ケーキドーナッツ あん入り カスタードクリーム,1566,371,20.0,8.8,"9.6",12.7,"250",10.5,59.6,55.8,"57.7","0.7",0,56.7,0.1,0.9,Tr,30,6,3,16,0.1,0.1,0.03,0.11,0,1,1,8,170,Tr,7,8,9,86,"1.8",1.0,0.1,0.3,0,9,0.09,"0.24","0.2",1.8,0.08,"0.5","35",1.07,10.0,Tr,-,0
15079,2172,＜ケーキ・ペストリー類＞ パイ パイ皮,1613,386,32.0,4.6,"5.0",24.8,"1",25.4,38.0,34.5,"36.1","1.3",0,36.4,-,1.2,390,50,9,9,31,0.3,0.3,0.06,0.19,0,11,1,9,0,-,-,-,0,0,"Tr",2.5,0.1,3.1,1.2,2,0.05,"0.02","0.3",1.3,0.02,"0","6",0.32,0.7,0,-,1.0
15080,2173,＜ケーキ・ペストリー類＞ パイ アップルパイ,1230,294,45.0,3.6,"4.0",16.0,"1",17.5,39.5,36.9,"33.2","1.2",0.1,32.8,0.1,0.8,260,64,6,6,32,0.2,0.2,0.05,0.13,0,6,1,5,0,0,2,1,3,0,"0.2",2.2,0.1,5.2,0.5,9,0.02,"0.01","0.3",1.1,0.02,"0","4",0.05,0.5,1,-,0.7
15081,2174,＜ケーキ・ペストリー類＞ パイ ミートパイ,1583,381,36.2,8.7,"9.7",27.4,"13",29.9,31.8,29.0,"23.9","1.8",0,22.2,0.1,2.0,620,170,14,15,74,0.6,0.8,0.09,0.22,0,13,1,8,1,300,640,0,790,67,"0.4",3.6,0.2,8.2,0.7,16,0.17,"0.06","1.6",3.5,0.11,"0.1","9",0.33,1.5,1,-,1.6
15082,2175,＜ケーキ・ペストリー類＞ バターケーキ,1768,422,20.0,5.3,"5.8",23.2,"160",25.3,50.8,47.4,"49.8","0.7",0,48.0,-,0.9,240,74,22,7,67,0.6,0.4,0.04,0.12,10,8,1,5,190,1,51,5,52,140,"1.2",0.8,Tr,0.2,0,8,0.05,"0.12","0.2",1.5,0.03,"0.3","16",0.48,7.0,0,-,0.6
15083,2176,＜ケーキ・ペストリー類＞ ホットケーキ,1070,253,40.0,7.0,"7.7",4.9,"77",5.4,47.4,43.8,"45.2","1.1",0,45.3,0.1,1.6,260,210,110,13,160,0.5,0.5,0.05,Tr,12,6,3,9,51,0,3,2,4,21,"0.7",0.5,0.1,0.2,0.1,3,0.08,"0.16","0.3",2.1,0.05,"0.3","15",0.68,5.1,Tr,-,0.7
15084,2177,＜ケーキ・ペストリー類＞ ワッフル カスタードクリーム入り,1019,241,45.9,6.6,"7.3",7.0,"140",7.9,40.0,37.0,"38.7","0.8",0,38.1,0.1,0.9,62,150,83,11,110,0.4,0.5,0.04,0.13,14,6,1,7,100,0,4,5,5,72,"1.6",0.8,0.1,0.3,0.1,6,0.08,"0.18","0.2",1.9,0.06,"0.3","23",0.90,4.7,1,-,0.2
15085,2178,＜ケーキ・ペストリー類＞ ワッフル ジャム入り,1184,279,33.0,4.5,"4.9",3.9,"53",4.2,59.6,55.9,"56.6","1.3",0,57.3,Tr,0.6,51,130,52,11,80,0.4,0.4,0.05,0.19,9,5,1,6,38,0,2,2,2,10,"0.6",0.5,Tr,0.2,0.1,4,0.05,"0.10","0.3",1.4,0.04,"0.2","22",0.48,4.2,5,-,0.1
15086,2179,＜デザート菓子類＞ カスタードプリン,488,116,74.1,5.3,"5.7",4.5,"120",5.5,14.5,13.8,"15.3","0",0,14.0,0.1,0.7,69,130,81,9,110,0.5,0.6,0.02,0.01,20,9,0,4,87,0,4,4,4,23,"1.4",0.5,0,0.1,0,5,0.04,"0.20","0.1",1.5,0.05,"0.5","18",0.69,8.4,1,-,0.2
15136,2180,＜デザート菓子類＞ 牛乳寒天,259,61,85.2,1.0,"1.1",1.2,"4",1.3,12.1,11.6,"11.9","0.5",0,12.2,0.1,0.2,15,51,38,4,32,0.1,0.1,Tr,0.01,6,1,0,1,13,0,2,0,2,13,"0.1",Tr,0,0,0,1,0.01,"0.05","Tr",0.3,0.01,"0.1","2",0.19,0.6,Tr,-,Tr
15142,2181,＜デザート菓子類＞ こんにゃくゼリー,275,65,83.2,-,"0",-,"0",0.1,11.6,11.5,"15.6","0.8",Tr,16.4,-,0.4,58,110,15,1,37,Tr,Tr,Tr,0.01,0,0,1,0,0,0,1,Tr,2,0,"0",0,0,0,0,0,Tr,"0","Tr",Tr,Tr,"0","0",0,Tr,0,-,0.1
15087,2182,＜デザート菓子類＞ ゼリー オレンジ,339,79,77.6,1.6,"2.1",0.1,"0",0.1,18.4,17.8,"19.1","0.2",0,19.8,1.0,0.4,5,180,9,10,17,0.1,0.1,0.03,0.03,1,0,1,1,0,7,16,50,45,4,"0",0.3,0,0,0,0,0.07,"0.02","0.3",0.3,0.06,"0","26",0.22,0.3,40,-,Tr
15088,2183,＜デザート菓子類＞ ゼリー コーヒー,186,44,87.8,1.5,"1.6",0,"0",0,14.8,14.1,"10.5","0",-,10.3,-,0.1,5,47,2,5,5,Tr,0,Tr,0.02,0,0,0,0,0,-,-,-,0,0,"0",0,0,0,0,0,0,"Tr","0.6",0.6,0,"0","0",Tr,1.1,0,-,Tr
15089,2184,＜デザート菓子類＞ ゼリー ミルク,432,103,76.8,4.0,"4.3",3.4,"12",3.7,14.8,14.1,"15.0","0",0,14.4,0.1,0.7,43,150,110,10,91,Tr,0.4,0.01,0,16,3,0,4,37,0,6,0,6,37,"0.3",0.1,0,0,0,2,0.04,"0.15","0.1",0.7,0.03,"0.3","5",0.54,1.8,1,-,0.1
15090,2185,＜デザート菓子類＞ ゼリー ワイン,275,65,84.1,1.7,"1.7",-,"0",0,13.7,13.1,"13.2","0",-,13.2,Tr,Tr,5,11,1,1,1,0.1,0,Tr,0.02,0,0,Tr,0,0,-,-,-,0,0,"0",0,0,0,0,0,0,"0","0",Tr,Tr,"0","0",0.01,0.2,0,0.9,Tr
15091,2186,＜デザート菓子類＞ ババロア,854,204,60.9,5.0,"5.6",11.7,"150",12.9,20.8,19.9,"21.6","0",0,19.9,0.1,0.6,52,90,72,6,130,0.6,0.6,0.02,0.01,21,7,Tr,5,130,0,21,5,24,130,"1.6",0.6,0,0.2,0,7,0.04,"0.13","Tr",1.0,0.05,"0.6","20",0.67,8.4,Tr,-,0.1
15092,2187,＜ビスケット類＞ ウエハース,1852,438,2.1,6.9,"7.6",12.0,"18",13.6,80.1,74.5,"76.4","1.2",0,75.3,Tr,1.4,480,76,21,9,63,0.6,0.4,0.14,0.23,-,-,-,-,16,0,9,0,9,17,"0",1.1,0.1,1.0,0.1,4,0.03,"0.08","0.5",2.2,0.02,"Tr","6",0.24,-,0,-,1.2
15141,2188,＜ビスケット類＞ ウエハース クリーム入り,2082,495,2.7,7.0,"7.5",21.2,"1",21.8,72.9,68.1,"65.1","2.1",0,65.5,Tr,2.1,500,170,56,25,120,0.8,0.6,0.15,-,0,2,2,11,0,-,-,-,0,0,"Tr",-,-,-,-,1,0.17,"0.03","0.8",2.5,0.07,"0","11",0.50,2.0,0,-,1.3
15093,2189,＜ビスケット類＞ クラッカー オイルスプレークラッカー,2016,481,2.7,7.5,"8.5",21.1,"-",22.5,-,-,"64.2","2.1",-,63.9,-,2.4,610,110,180,18,190,0.8,0.5,0.12,0.49,0,3,2,10,0,-,-,-,0,0,"-",12.0,0.4,1.9,0.8,4,0.08,"0.04","0.8",2.5,0.04,"-","12",0.45,1.7,0,-,1.5
